ID State,State,2015 population
AL,ALABAMA,"4,858,979"
AK,ALASKA,"738,432"
AZ,ARIZONA,"6,828,065"
AR,ARKANSAS,"2,978,204"
CA,CALIFORNIA,"39,144,818"
CO,COLORADO,"5,456,574"
CT,CONNECTICUT,"3,590,886"
DE,DELAWARE,"945,934"
FL,Florida,"20,271,272"
GA,Georgia,"10,214,860"
HI,Hawaii,"1,431,603"
ID,Idaho,"1,654,930"
IL,Illinois,"12,859,995"
IN,Indiana,"6,619,680"
IA,Iowa,"3,123,899"
KS,Kansas,"2,911,641"
KY,Kentucky,"4,425,092"
LA,Louisiana,"4,649,676"
ME,Maine,"1,329,328"
MD,Maryland,"6,006,401"
MA,Massachusetts,"6,794,422"
MI,Michigan,"9,922,576"
MN,Minnesota,"5,489,594"
MS,Mississippi,"2,992,333"
MO,Missouri,"6,083,672"
MT,Montana,"1,032,949"
NE,Nebraska,"1,896,190"
NV,Nevada,"2,890,845"
NH,New Hampshire,"1,330,608"
NJ,New Jersey,"8,958,013"
NM,New Mexico,"2,085,109"
NY,New York,"19,795,791"
NC,North Carolina,"10,042,802"
ND,North Dakota,"756,927"
OH,Ohio,"11,613,423"
OK,Oklahoma,"3,911,338"
OR,Oregon,"4,028,977"
PA,Pennsylvania,"12,802,503"
RI,Rhode Island,"1,056,298"
SC,South Carolina,"4,896,146"
SD,South Dakota,"858,469"
TN,Tennessee,"6,600,299"
TX,Texas,"27,469,114"
UT,Utah,"2,995,919"
VT,Vermont,"626,042"
VA,Virginia,"8,382,993"
WA,Washington,"7,170,351"
WV,West Virginia,"1,844,128"
WI,Wisconsin,"5,771,337"
WY,Wyoming,"586,107"
